Año,Especie,Puerto,Desembarques
2010.0,Besugo,Mar del Plata,5801.9
2011.0,Besugo,Mar del Plata,3597.4
2012.0,Besugo,Mar del Plata,2972.8
2013.0,Besugo,Mar del Plata,4185.461
2014.0,Besugo,Mar del Plata,3035.2
2015.0,Besugo,Mar del Plata,3232.819999999998
2016.0,Besugo,Mar del Plata,2875.6629999999996
2017.0,Besugo,Mar del Plata,3604.67
2018.0,Besugo,Mar del Plata,4322.7
2019.0,Besugo,Mar del Plata,5163.615999999999
2020.0,Besugo,Mar del Plata,5774.986000000001
1989.0,Bonito,Mar del Plata,1333.4
1990.0,Bonito,Mar del Plata,1207.3
1991.0,Bonito,Mar del Plata,2027.3
1992.0,Bonito,Mar del Plata,1558.8
1993.0,Bonito,Mar del Plata,434.1
1994.0,Bonito,Mar del Plata,4.3
1995.0,Bonito,Mar del Plata,138.1
1996.0,Bonito,Mar del Plata,107.4
1997.0,Bonito,Mar del Plata,127.5
1998.0,Bonito,Mar del Plata,10.8
1999.0,Bonito,Mar del Plata,44.4
2000.0,Bonito,Mar del Plata,18.9
2001.0,Bonito,Mar del Plata,234.6
2002.0,Bonito,Mar del Plata,1.1
2003.0,Bonito,Mar del Plata,129.2
2004.0,Bonito,Mar del Plata,264.5
2005.0,Bonito,Mar del Plata,5.2
2006.0,Bonito,Mar del Plata,135.6
2007.0,Bonito,Mar del Plata,34.1
2008.0,Bonito,Mar del Plata,7.4
2009.0,Bonito,Mar del Plata,220.3
2010.0,Bonito,Mar del Plata,58.6
2011.0,Bonito,Mar del Plata,6.0
2012.0,Bonito,Mar del Plata,2.4
2013.0,Bonito,Mar del Plata,77.735
2014.0,Bonito,Mar del Plata,264.1
2015.0,Bonito,Mar del Plata,244.32999999999998
2016.0,Bonito,Mar del Plata,166.81300000000002
2017.0,Bonito,Mar del Plata,60.08
2018.0,Bonito,Mar del Plata,3.0
2019.0,Bonito,Mar del Plata,18.455
2020.0,Bonito,Mar del Plata,0.4
1989.0,Brotola,Mar del Plata,172.5
1990.0,Brotola,Mar del Plata,81.2
1991.0,Brotola,Mar del Plata,176.4
1992.0,Brotola,Mar del Plata,219.5
1993.0,Brotola,Mar del Plata,307.7
1994.0,Brotola,Mar del Plata,315.4
1995.0,Brotola,Mar del Plata,290.3
1996.0,Brotola,Mar del Plata,283.0
1997.0,Brotola,Mar del Plata,176.1
1998.0,Brotola,Mar del Plata,100.0
1999.0,Brotola,Mar del Plata,124.7
2000.0,Brotola,Mar del Plata,21.1
2001.0,Brotola,Mar del Plata,86.2
2002.0,Brotola,Mar del Plata,269.6
2003.0,Brotola,Mar del Plata,355.1
2004.0,Brotola,Mar del Plata,165.7
2005.0,Brotola,Mar del Plata,95.9
2006.0,Brotola,Mar del Plata,74.6
2007.0,Brotola,Mar del Plata,87.0
2008.0,Brotola,Mar del Plata,91.0
2009.0,Brotola,Mar del Plata,104.2
2010.0,Brotola,Mar del Plata,72.9
2011.0,Brotola,Mar del Plata,137.4
2012.0,Brotola,Mar del Plata,207.3
2013.0,Brotola,Mar del Plata,113.63799999999999
2014.0,Brotola,Mar del Plata,54.8
2015.0,Brotola,Mar del Plata,63.312
2016.0,Brotola,Mar del Plata,89.10499999999998
2017.0,Brotola,Mar del Plata,81.79
2018.0,Brotola,Mar del Plata,102.5
2019.0,Brotola,Mar del Plata,37.14900000000001
2020.0,Brotola,Mar del Plata,13.417999999999997
1990.0,Burriqueta,Mar del Plata,0.1
1991.0,Burriqueta,Mar del Plata,0.1
1992.0,Burriqueta,Mar del Plata,0.4
1993.0,Burriqueta,Mar del Plata,2.2
1994.0,Burriqueta,Mar del Plata,0.4
1995.0,Burriqueta,Mar del Plata,1.0
1996.0,Burriqueta,Mar del Plata,1.2
1997.0,Burriqueta,Mar del Plata,4.0
1999.0,Burriqueta,Mar del Plata,0.0
2000.0,Burriqueta,Mar del Plata,0.1
2001.0,Burriqueta,Mar del Plata,0.2
2002.0,Burriqueta,Mar del Plata,1.2
2003.0,Burriqueta,Mar del Plata,0.7
2004.0,Burriqueta,Mar del Plata,0.4
2005.0,Burriqueta,Mar del Plata,0.2
2007.0,Burriqueta,Mar del Plata,0.2
2010.0,Burriqueta,Mar del Plata,0.3
2011.0,Burriqueta,Mar del Plata,1.9
2012.0,Burriqueta,Mar del Plata,0.8
2013.0,Burriqueta,Mar del Plata,1.052
2015.0,Burriqueta,Mar del Plata,3.869
2016.0,Burriqueta,Mar del Plata,2.904
1989.0,Caballa,Mar del Plata,7356.9
1990.0,Caballa,Mar del Plata,3747.3
1991.0,Caballa,Mar del Plata,6237.6
1992.0,Caballa,Mar del Plata,4989.6
1993.0,Caballa,Mar del Plata,6074.0
1994.0,Caballa,Mar del Plata,10491.9
1995.0,Caballa,Mar del Plata,7301.6
1996.0,Caballa,Mar del Plata,5895.8
1997.0,Caballa,Mar del Plata,5456.9
1998.0,Caballa,Mar del Plata,3196.0
1999.0,Caballa,Mar del Plata,10170.2
2000.0,Caballa,Mar del Plata,10106.7
2001.0,Caballa,Mar del Plata,4593.4
2002.0,Caballa,Mar del Plata,11605.0
2003.0,Caballa,Mar del Plata,5015.1
2004.0,Caballa,Mar del Plata,4904.7
2005.0,Caballa,Mar del Plata,2310.0
2006.0,Caballa,Mar del Plata,6049.3
2007.0,Caballa,Mar del Plata,10593.8
2008.0,Caballa,Mar del Plata,13341.0
2009.0,Caballa,Mar del Plata,0.9
2010.0,Caballa,Mar del Plata,26618.6
2011.0,Caballa,Mar del Plata,27724.7
2012.0,Caballa,Mar del Plata,20343.3
2014.0,Caballa,Mar del Plata,6800.6
2017.0,Caballa,Mar del Plata,8634.07
2018.0,Caballa,Mar del Plata,5377.1
2019.0,Caballa,Mar del Plata,8113.681000000002
2020.0,Caballa,Mar del Plata,13532.137000000002
2013.0,Caballa Norte del 39° S,Mar del Plata,551.789
2015.0,Caballa Norte del 39° S,Mar del Plata,2020.6390000000001
2016.0,Caballa Norte del 39° S,Mar del Plata,1626.106
2013.0,Caballa Sur del 39° S,Mar del Plata,17562.806000000004
2015.0,Caballa Sur del 39° S,Mar del Plata,16029.887
2016.0,Caballa Sur del 39° S,Mar del Plata,9877.883
2008.0,Cabrilla,Mar del Plata,0.0
2009.0,Cabrilla,Mar del Plata,12680.2
2010.0,Cabrilla,Mar del Plata,0.0
2011.0,Cabrilla,Mar del Plata,0.0
2012.0,Cabrilla,Mar del Plata,0.0
2018.0,Cabrilla,Mar del Plata,0.0
2019.0,Cabrilla,Mar del Plata,0.0
2020.0,Cabrilla,Mar del Plata,0.0
1989.0,Calamar Illex,Mar del Plata,8233.2
1990.0,Calamar Illex,Mar del Plata,4703.1
1991.0,Calamar Illex,Mar del Plata,10974.6
1992.0,Calamar Illex,Mar del Plata,23065.4
1993.0,Calamar Illex,Mar del Plata,26037.8
1994.0,Calamar Illex,Mar del Plata,14433.1
1995.0,Calamar Illex,Mar del Plata,30456.7
1996.0,Calamar Illex,Mar del Plata,38045.9
1997.0,Calamar Illex,Mar del Plata,24420.8
1998.0,Calamar Illex,Mar del Plata,21688.4
1999.0,Calamar Illex,Mar del Plata,27885.4
2000.0,Calamar Illex,Mar del Plata,14184.8
2001.0,Calamar Illex,Mar del Plata,32183.3
2002.0,Calamar Illex,Mar del Plata,32427.5
2003.0,Calamar Illex,Mar del Plata,17904.1
2004.0,Calamar Illex,Mar del Plata,20660.9
2005.0,Calamar Illex,Mar del Plata,56802.2
2006.0,Calamar Illex,Mar del Plata,64509.4
2007.0,Calamar Illex,Mar del Plata,83404.9
2008.0,Calamar Illex,Mar del Plata,122032.7
2009.0,Calamar Illex,Mar del Plata,49610.8
2010.0,Calamar Illex,Mar del Plata,65307.0
2011.0,Calamar Illex,Mar del Plata,44065.6
2012.0,Calamar Illex,Mar del Plata,38753.0
2013.0,Calamar Illex,Mar del Plata,83753.21999999999
2014.0,Calamar Illex,Mar del Plata,89143.0
2015.0,Calamar Illex,Mar del Plata,88599.30199999997
2016.0,Calamar Illex,Mar del Plata,45828.659999999996
2017.0,Calamar Illex,Mar del Plata,60699.89
2018.0,Calamar Illex,Mar del Plata,58325.7
2019.0,Calamar Illex,Mar del Plata,34617.44299999998
2020.0,Calamar Illex,Mar del Plata,109725.66399999987
1989.0,Calamar Loligo,Mar del Plata,73.6
1990.0,Calamar Loligo,Mar del Plata,70.1
1991.0,Calamar Loligo,Mar del Plata,46.9
1992.0,Calamar Loligo,Mar del Plata,53.1
1993.0,Calamar Loligo,Mar del Plata,104.8
1994.0,Calamar Loligo,Mar del Plata,96.3
1995.0,Calamar Loligo,Mar del Plata,201.8
1996.0,Calamar Loligo,Mar del Plata,111.4
1997.0,Calamar Loligo,Mar del Plata,277.1
1998.0,Calamar Loligo,Mar del Plata,94.2
1999.0,Calamar Loligo,Mar del Plata,126.2
2000.0,Calamar Loligo,Mar del Plata,52.9
2001.0,Calamar Loligo,Mar del Plata,32183.3
2002.0,Calamar Loligo,Mar del Plata,32.0
2003.0,Calamar Loligo,Mar del Plata,202.6
2004.0,Calamar Loligo,Mar del Plata,116.2
2005.0,Calamar Loligo,Mar del Plata,182.6
2006.0,Calamar Loligo,Mar del Plata,130.5
2007.0,Calamar Loligo,Mar del Plata,104.1
2008.0,Calamar Loligo,Mar del Plata,100.5
2009.0,Calamar Loligo,Mar del Plata,107.3
2010.0,Calamar Loligo,Mar del Plata,104.7
2011.0,Calamar Loligo,Mar del Plata,126.7
2012.0,Calamar Loligo,Mar del Plata,58.0
2013.0,Calamar Loligo,Mar del Plata,25.453999999999997
2014.0,Calamar Loligo,Mar del Plata,66.1
2015.0,Calamar Loligo,Mar del Plata,39.254
2016.0,Calamar Loligo,Mar del Plata,15.012000000000002
2017.0,Calamar Loligo,Mar del Plata,29.23
2018.0,Calamar Loligo,Mar del Plata,16.9
2019.0,Calamar Loligo,Mar del Plata,12.938999999999995
2020.0,Calamar Loligo,Mar del Plata,5.258999999999998
1989.0,Calamar Martialia,Mar del Plata,0.0
1990.0,Calamar Martialia,Mar del Plata,0.0
1991.0,Calamar Martialia,Mar del Plata,0.0
1995.0,Calamar Martialia,Mar del Plata,138.9
1996.0,Calamar Martialia,Mar del Plata,0.0
1997.0,Calamar Martialia,Mar del Plata,0.0
1999.0,Calamar Martialia,Mar del Plata,0.0
2000.0,Calamar Martialia,Mar del Plata,0.0
2001.0,Calamar Martialia,Mar del Plata,58.8
2003.0,Calamar Martialia,Mar del Plata,0.5
2004.0,Calamar Martialia,Mar del Plata,0.7
2005.0,Calamar Martialia,Mar del Plata,0.0
2006.0,Calamar Martialia,Mar del Plata,171.5
2009.0,Calamar Martialia,Mar del Plata,4.4
2019.0,Calamar patagónico,Mar del Plata,1.915
1989.0,Camaron,Mar del Plata,3.1
1990.0,Camaron,Mar del Plata,52.2
1991.0,Camaron,Mar del Plata,37.6
1992.0,Camaron,Mar del Plata,68.2
1993.0,Camaron,Mar del Plata,72.9
1994.0,Camaron,Mar del Plata,73.8
1995.0,Camaron,Mar del Plata,29.3
1996.0,Camaron,Mar del Plata,62.8
1997.0,Camaron,Mar del Plata,12.7
1998.0,Camaron,Mar del Plata,0.0
1999.0,Camaron,Mar del Plata,3.5
2000.0,Camaron,Mar del Plata,0.0
2001.0,Camaron,Mar del Plata,75.0
2002.0,Camaron,Mar del Plata,26.3
2003.0,Camaron,Mar del Plata,5.8
2004.0,Camaron,Mar del Plata,2.5
2005.0,Camaron,Mar del Plata,0.1
2006.0,Camaron,Mar del Plata,3.6
2007.0,Camaron,Mar del Plata,0.8
2008.0,Camaron,Mar del Plata,135.7
2009.0,Camaron,Mar del Plata,80.7
2010.0,Camaron,Mar del Plata,0.0
2011.0,Camaron,Mar del Plata,5.3
2012.0,Camaron,Mar del Plata,2.5
2013.0,Camaron,Mar del Plata,0.4880000000000001
2014.0,Camaron,Mar del Plata,0.9
2015.0,Camaron,Mar del Plata,14.381
2016.0,Camaron,Mar del Plata,0.15100000000000002
2017.0,Camaron,Mar del Plata,2.97
2018.0,Camaron,Mar del Plata,8.1
2019.0,Camaron,Mar del Plata,0.169
2020.0,Camaron,Mar del Plata,0.17600000000000002
1989.0,Cangrejo,Mar del Plata,11.5
1990.0,Cangrejo,Mar del Plata,19.5
1991.0,Cangrejo,Mar del Plata,16.6
1992.0,Cangrejo,Mar del Plata,19.2
1993.0,Cangrejo,Mar del Plata,26.5
1994.0,Cangrejo,Mar del Plata,16.2
1995.0,Cangrejo,Mar del Plata,23.2
1996.0,Cangrejo,Mar del Plata,26.6
1997.0,Cangrejo,Mar del Plata,32.4
1998.0,Cangrejo,Mar del Plata,1.9
1999.0,Cangrejo,Mar del Plata,28.5
2000.0,Cangrejo,Mar del Plata,2.5
2001.0,Cangrejo,Mar del Plata,42.9
2002.0,Cangrejo,Mar del Plata,33.6
2003.0,Cangrejo,Mar del Plata,23.0
2004.0,Cangrejo,Mar del Plata,16.6
2005.0,Cangrejo,Mar del Plata,18.3
2006.0,Cangrejo,Mar del Plata,58.8
2007.0,Cangrejo,Mar del Plata,58.6
2008.0,Cangrejo,Mar del Plata,77.5
2009.0,Cangrejo,Mar del Plata,56.8
2010.0,Cangrejo,Mar del Plata,54.6
2011.0,Cangrejo,Mar del Plata,70.5
2012.0,Cangrejo,Mar del Plata,21.6
2013.0,Cangrejo,Mar del Plata,14.285999999999998
2014.0,Cangrejo,Mar del Plata,26.4
2015.0,Cangrejo,Mar del Plata,11.167
2016.0,Cangrejo,Mar del Plata,21.374000000000006
2017.0,Cangrejo,Mar del Plata,21.23
2018.0,Cangrejo,Mar del Plata,25.0
2019.0,Cangrejo,Mar del Plata,32.57999999999999
2020.0,Cangrejo,Mar del Plata,16.936
2018.0,Cangrejo rojo,Mar del Plata,31.0
1989.0,Caracol,Mar del Plata,186.5
1990.0,Caracol,Mar del Plata,172.7
1991.0,Caracol,Mar del Plata,169.7
1992.0,Caracol,Mar del Plata,96.6
1993.0,Caracol,Mar del Plata,140.7
1994.0,Caracol,Mar del Plata,193.1
1995.0,Caracol,Mar del Plata,539.4
1996.0,Caracol,Mar del Plata,493.3
1997.0,Caracol,Mar del Plata,1181.2
1998.0,Caracol,Mar del Plata,601.9
1999.0,Caracol,Mar del Plata,479.4
2000.0,Caracol,Mar del Plata,311.4
2001.0,Caracol,Mar del Plata,0.0
2002.0,Caracol,Mar del Plata,202.7
2003.0,Caracol,Mar del Plata,281.8
2004.0,Caracol,Mar del Plata,201.9
2005.0,Caracol,Mar del Plata,158.1
2006.0,Caracol,Mar del Plata,2.1
2007.0,Caracol,Mar del Plata,128.5
2008.0,Caracol,Mar del Plata,108.3
2009.0,Caracol,Mar del Plata,60.6
2010.0,Caracol,Mar del Plata,119.9
2011.0,Caracol,Mar del Plata,56.9
2012.0,Caracol,Mar del Plata,59.7
2013.0,Caracol,Mar del Plata,71.02000000000002
2014.0,Caracol,Mar del Plata,38.1
